Latency (seconds),Latency (seconds),Latency (seconds),Latency (seconds)
0.019845486,0.018507242,0.019599438,0.018760204
0.01857996,0.019476891,0.020311117,0.020021677
0.0189147,0.018661737,0.019454002,0.020868063
0.020417929,0.019188881,0.021462679,0.019209146
0.018757343,0.019565105,0.01952219,0.019070625
0.018533945,0.019635439,0.018468142,0.019310951
0.019019127,0.019411564,0.018466234,0.020031691
0.018183947,0.018845797,0.018951654,0.018126488
0.018892288,0.018451452,0.018589497,0.019004345
0.019210815,0.020323992,0.017926455,0.019168377
0.018513441,0.019739628,0.019482613,0.020006657
0.018575191,0.018447876,0.018473625,0.020722628
0.019603491,0.019598722,0.01828742,0.018680334
0.019233942,0.019052029,0.018971205,0.01816678
0.020101786,0.018775225,0.019304037,0.019234896
0.018698215,0.018950462,0.019130945,0.020038128
0.018742323,0.018401384,0.018421412,0.018739462
0.018481255,0.019327402,0.018724442,0.01986742
0.019871473,0.018420696,0.018027782,0.020077229
0.018830299,0.020057678,0.018220901,0.018988371
0.018965483,0.018184662,0.019459248,0.019037008
0.018633842,0.017702341,0.018410444,0.018168449
0.019130945,0.018367052,0.019329309,0.020083666
0.018588305,0.019627333,0.018556833,0.019532681
0.019161224,0.018689394,0.017397165,0.019425869
0.018703938,0.018493652,0.019372225,0.019655943
0.018572092,0.019224882,0.019360304,0.018144608
0.019043684,0.019853354,0.018151283,0.020167828
0.019256592,0.019454002,0.018645763,0.01900363
0.018955469,0.018500805,0.019126654,0.018813133
0.019110441,0.018927336,0.019314051,0.019139767
0.018094063,0.019219875,0.019425631,0.018793583
0.018904209,0.018611193,0.019397974,0.020446539
0.01935482,0.019424677,0.019836903,0.018892288
0.018754482,0.01872921,0.017725229,0.017964602
0.018515825,0.018270254,0.019618511,0.021850348
0.018840313,0.019491434,0.018642664,0.020805836
0.018325806,0.02016139,0.018411636,0.019068956
0.018899679,0.017917633,0.019624949,0.018061161
0.019312143,0.019443512,0.020146132,0.019074678
0.019174337,0.018344879,0.018033504,0.023090601
0.018490314,0.041969776,0.019397497,0.0184865
0.019437313,0.019470453,0.018538237,0.019111156
0.018852711,0.018469095,0.019198418,0.019324541
0.019208431,0.019598961,0.01963973,0.019041538
0.019245863,0.018517017,0.018558741,0.019395113
0.019166708,0.019393206,0.019422531,0.019226551
0.018513918,0.018489122,0.018656254,0.020512819
0.018587351,0.018589973,0.019360781,0.018938303
0.019349575,0.019399405,0.019394636,0.020200491
0.018676043,0.021465063,0.01811409,0.019720316
0.019261599,0.020980597,0.018640041,0.019134283
0.019071341,0.018910408,0.019245625,0.019322157
0.018921375,0.019366264,0.018548727,0.021600008
0.019232512,0.019566059,0.01871562,0.019604921
0.018397808,0.019396305,0.01914978,0.02121067
0.018757582,0.019910097,0.019416571,0.019161701
0.019408464,0.020525455,0.019441128,0.01913619
0.01981473,0.018861532,0.018569946,0.019719124
0.019405603,0.018584728,0.020538568,0.020088434
0.018929482,0.019404173,0.018787146,0.019015551
0.019735336,0.019663572,0.019641876,0.019589424
0.019000053,0.020481586,0.018880844,0.019137859
0.01932168,0.018890858,0.019321442,0.018900394
0.020473957,0.019328117,0.018594027,0.019361496
0.018713474,0.01930213,0.019519567,0.019057035
0.019048452,0.020204544,0.019500494,0.019368172
0.020281315,0.018528461,0.02063179,0.019623995
0.018732071,0.02003932,0.019467831,0.018490314
0.017615557,0.020056486,0.018865108,0.018954515
0.019899845,0.019755125,0.02007556,0.019698858
0.019244671,0.017944574,0.01937151,0.018579245
0.01854682,0.018726826,0.020033121,0.017760754
0.018853426,0.018627644,0.01860857,0.019128561
0.019328356,0.01829648,0.019038677,0.018608093
0.01917696,0.019285202,0.018327475,0.018599987
0.020175219,0.018307686,0.019017696,0.019193649
0.019473553,0.019086361,0.017816782,0.019062281
0.018473864,0.018844604,0.019682169,0.019064426
0.019183159,0.019381762,0.017502785,0.019242525
0.019386053,0.018675327,0.019478083,0.019467592
0.017793179,0.019263268,0.018640757,0.018471956
0.02053833,0.019095182,0.018562078,0.020623922
0.018601656,0.021430731,0.018915653,0.01851368
0.019032478,0.020814657,0.019362926,0.019732237
0.02045393,0.019550085,0.018610001,0.018782854
0.019954681,0.018922567,0.019329309,0.018210173
0.018293858,0.019150734,0.01962328,0.019474506
0.019733906,0.019447803,0.018726826,0.01908493
0.018147469,0.018939495,0.018224239,0.018156528
0.019466877,0.017706871,0.018369198,0.019955635
0.019438028,0.019317389,0.019330502,0.019322634
0.019983053,0.017953396,0.020457268,0.019527435
0.019265652,0.019628048,0.018320322,0.019665003
0.019747257,0.018974781,0.018631458,0.019366503
0.018562317,0.018785715,0.017601728,0.020294905
0.020481348,0.01932168,0.019499302,0.018815756
0.019194365,0.019348621,0.018474579,0.019412041
0.019652605,0.018445015,0.01951623,0.017998457
0.01911521,0.019273758,0.018353224,0.019151926
